0	0
1	0
2	0
3	3
4	0
5	0
6	0
7	0
8	8
9	0
10	5
11	5
12	5
13	5
14	0
15	5
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	4
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	1
41	1
42	6
43	4
44	5
45	5
46	1
47	9
48	9
49	4
50	9
51	4
52	1
53	6
54	9
55	9
56	9
57	9
58	9
59	9
60	9
61	1
62	1
63	1
64	9
65	9
66	1
67	1
68	9
69	1
70	1
71	9
72	9
73	1
74	9
75	1
76	9
77	1
78	4
79	9
80	8
81	4
82	1
83	4
84	4
85	4
86	8
87	9
88	6
89	1
90	9
91	4
92	9
93	9
94	9
95	1
96	6
97	1
98	0
99	0
100	4
101	2
102	2
103	2
104	0
105	2
106	2
107	2
108	4
109	2
110	4
111	4
112	0
113	0
114	0
115	5
116	3
117	4
118	0
119	3
120	0
121	5
122	3
123	2
124	4
125	5
126	4
127	5
128	5
129	0
130	5
131	3
132	3
133	3
134	3
135	3
136	3
137	3
138	3
139	3
140	3
141	3
142	3
143	3
144	3
145	3
146	3
147	3
148	5
149	3
150	3
151	3
152	3
153	3
154	3
155	3
156	3
157	3
158	3
159	3
160	3
161	6
162	6
163	6
164	3
165	3
166	3
167	0
168	0
169	0
170	3
171	6
172	3
173	5
174	5
175	4
176	5
177	5
178	5
179	4
180	4
181	6
182	6
183	6
184	9
185	9
186	6
187	9
188	6
189	9
190	5
191	5
192	6
193	6
194	1
195	4
196	1
197	1
198	4
199	9
200	9
201	6
202	4
203	6
204	6
205	5
206	4
207	9
208	5
209	9
210	9
211	9
212	9
213	6
214	6
215	0
216	6
217	9
218	9
219	9
220	9
221	9
222	6
223	0
224	5
225	0
226	9
227	5
228	6
229	0
230	9
231	5
232	9
233	9
234	4
235	1
236	6
237	5
238	1
239	9
240	0
241	5
242	5
243	5
244	5
245	5
246	5
247	5
248	8
249	5
250	5
251	3
252	5
253	9
254	9
255	9
256	8
257	4
258	9
259	6
260	6
261	6
262	9
263	6
264	4
265	6
266	4
267	4
268	6
269	6
270	6
271	6
272	6
273	5
274	4
275	6
276	6
277	6
278	6
279	6
280	6
281	6
282	2
283	4
284	3
285	3
286	6
287	6
288	6
289	2
290	6
291	8
292	9
293	9
294	8
295	6
296	8
297	1
298	8
299	7
300	3
301	7
302	7
303	7
304	7
305	7
306	3
307	5
308	4
309	7
310	8
311	7
312	7
313	4
314	4
315	4
316	4
317	5
318	9
319	6
320	6
321	9
322	5
323	6
324	6
325	8
326	6
327	5
328	7
329	7
330	4
331	5
332	5
333	7
334	7
335	7
336	5
337	9
338	9
339	9
340	8
341	8
342	9
343	8
344	9
345	8
346	8
347	8
348	8
349	4
350	4
351	9
352	1
353	4
354	4
355	4
356	9
357	9
358	6
359	9
360	6
361	9
362	6
363	5
364	9
365	6
366	6
367	9
368	6
369	9
370	5
371	9
372	9
373	6
374	8
375	6
376	5
377	6
378	9
379	9
380	6
381	1
382	6
383	9
384	6
385	6
386	9
387	1
388	6
389	9
390	9
391	9
392	1
393	8
394	9
395	9
396	8
397	4
398	8
399	4
400	9
401	9
402	4
403	9
404	1
405	6
406	9
407	9
408	1
409	4
410	9
411	9
412	4
413	9
414	6
415	9
416	6
417	4
418	1
419	1
420	6
421	9
422	9
423	5
424	9
425	4
426	9
427	6
428	9
429	9
430	9
431	8
432	9
433	5
434	9
435	9
436	9
437	1
438	8
439	9
440	9
441	9
442	9
443	6
444	9
445	9
446	9
447	9
448	9
449	9
